post_id,title,category,score,num_comments,author,collected_at
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,138,76,henrygarner,2026-04-07 18:57:43
47673541,AI may be making us think and write more alike,technology,91,72,giuliomagnifico,2026-04-07 18:57:45
47672318,Blackholing My Email,technology,77,2,semyonsh,2026-04-07 18:57:46
47672295,Every GPU That Mattered,technology,155,86,jonbaer,2026-04-07 18:57:50
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1198,644,StanAngeloff,2026-04-07 18:57:54
47641528,Apollo Guidance Computer restoration videos,technology,77,11,mariuz,2026-04-07 18:58:01
47662596,AI singer now occupies eleven spots on iTunes singles chart,technology,219,340,flinner,2026-04-07 18:58:02
47673576,Why a new computer is slower than an old computer [video],technology,7,0,tiernano,2026-04-07 18:58:08
47667672,"Show HN: Hippo, biologically inspired memory for AI agents",technology,112,23,kitfunso,2026-04-07 18:58:10
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",technology,143,226,tantalor,2026-04-07 18:58:13
47673444,"No ""New Deal"" for OpenAI",technology,5,1,jger15,2026-04-07 18:58:20
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,877,130,armanified,2026-04-07 18:58:23
47664205,Adobe modifies hosts file to detect whether Creative Cloud is installed,technology,315,148,rglullis,2026-04-07 18:58:24
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,276,35,karimf,2026-04-07 18:58:27
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,130,70,stevebmark,2026-04-07 18:58:28
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,152,21,ikessler,2026-04-07 18:58:30
47648828,"Eight years of wanting, three months of building with AI",technology,937,293,brilee,2026-04-07 18:58:34
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,443,282,thisislife2,2026-04-07 18:58:39
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,214,26,desideratum,2026-04-07 18:58:40
47640728,Show HN: A game where you build a GPU,technology,951,185,Jaso1024,2026-04-07 18:58:44
47667798,"Bernie Sanders: ""AI Is a Threat to Everything the American People Hold Dear""",technology,64,56,fortran77,2026-04-07 18:58:46
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,400,98,vbtechguy,2026-04-07 18:58:47
47668658,"The back story behind the first ""$1.8B"" dollar ""AI Company""",technology,60,9,chermanowicz,2026-04-07 18:58:53
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,524,240,naves,2026-04-07 18:58:53
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1091,829,firloop,2026-04-07 18:58:58
